company,ticker,country,year,revenue,capex,sga,assets,net_income,capex_intensity,sga_intensity,trustpilot_score,trustpilot_reviews,glassdoor_overall,gd_review_count,eu_ecom_share_pct,uk_internet_sales_pct,ecom_share,log_revenue,log_assets,net_margin,ecom2,assets_rank,revenue_rank,capex_intensity_z,glassdoor_overall_z,trustpilot_score_z,sga_intensity_z,net_margin_z,K_x_W_z,K_x_T_z,capex_intensity_z_L1,glassdoor_overall_z_L1,trustpilot_score_L1,K_x_W_z_L1,covid,time_trend,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,capex_intensity_bar,glassdoor_overall_bar,trustpilot_score_bar,sga_intensity_bar,trustpilot_100
Inditex,ITX.MC,ES,2023,32569000000.0,1415000000.0,3105000000.0,29983000000.0,4130000000.0,0.0434,0.0953,1.3,18000.0,3.4,2000.0,22.0,26.0,22.0,24.20662675266219,24.123896391325665,0.12680770057416563,484.0,0.6363636363636364,0.6363636363636364,0.6380999574763733,1.1468264372690715,-0.8207737377669893,-0.6322523730176295,1.7724939474722567,0.7317899008541752,-0.5237356871668398,,1.1468264372690715,1.3,,0,4,0,0,1,0,0,0.054900000000000004,3.4,1.3,0.09503333333333334,7.500000000000001
Inditex,ITX.MC,ES,2024,35947000000.0,1872000000.0,3368000000.0,32735000000.0,5381000000.0,0.0521,0.0937,1.3,21000.0,,,23.0,26.5,23.0,24.305311468396336,24.211710678839466,0.14969260299885942,529.0,0.6363636363636364,0.6363636363636364,1.2601963407791126,,-0.8207737377669893,-0.6436531725096155,2.2692000044137313,,-1.0343360609415548,0.6380999574763733,1.1468264372690715,1.3,0.7317899008541752,0,5,0,0,0,1,0,0.054900000000000004,3.4,1.3,0.09503333333333334,7.500000000000001
Inditex,ITX.MC,ES,2025,38631875000.0,2671848000.0,3712000000.0,34714000000.0,5866133000.0,0.0692,0.0961,,,,,,,,24.37734354985286,24.2704089007451,0.15184696575043277,,0.6363636363636364,0.6363636363636364,2.4829375079603584,,,-0.6265519732716364,2.3159594359243902,,,1.2601963407791126,,1.3,,0,6,0,0,0,0,1,0.054900000000000004,3.4,1.3,0.09503333333333334,
JD Sports,JD.L,GB,2022,8563000000.0,242200000.0,3221500000.0,7153000000.0,369700000.0,0.0283,0.3762,3.8,290000.0,3.0,1200.0,22.0,25.5,25.5,22.870716432990466,22.690797686072656,0.04317412121919888,650.25,0.2222222222222222,0.2222222222222222,-0.4416305468766571,-1.3716943661453562,1.5896310644101617,1.3693004877941848,-0.04273360554027377,0.6057821330684032,-0.7020296363075822,,,,,0,3,0,1,0,0,0,0.039425,2.95,3.7999999999999994,0.382475,70.0
JD Sports,JD.L,GB,2023,10125000000.0,346500000.0,3850800000.0,8110600000.0,188300000.0,0.0342,0.3803,3.8,320000.0,2.9,1350.0,22.0,26.0,26.0,23.038273449939012,22.816437685074508,0.01859753086419753,676.0,0.2727272727272727,0.18181818181818182,-0.01974909153341996,-2.0013245669989637,1.5896310644101617,1.3985150364923995,-0.5761569543384031,0.0395243420617446,-0.031393769395404086,-0.4416305468766571,-1.3716943661453562,3.8,0.6057821330684032,0,4,0,0,1,0,0,0.039425,2.95,3.7999999999999994,0.382475,70.0
JD Sports,JD.L,GB,2024,10542000000.0,530000000.0,4057000000.0,8048000000.0,539000000.0,0.0503,0.3848,3.8,339000.0,,,23.0,26.5,26.5,23.078633115379425,22.808689450303795,0.05112881806108898,702.25,0.2727272727272727,0.18181818181818182,1.131486744233718,,1.5896310644101617,1.4305797850636102,0.12991935269286148,,1.7986464776022335,-0.01974909153341996,-2.0013245669989637,3.8,0.0395243420617446,0,5,0,0,0,1,0,0.039425,2.95,3.7999999999999994,0.382475,70.0
JD Sports,JD.L,GB,2025,11458000000.0,515000000.0,4453000000.0,9954000000.0,490000000.0,0.0449,0.3886,,,,,,,,23.161954012932796,23.021240317382773,0.04276488043288532,,0.36363636363636365,0.18181818181818182,0.7453579545975353,,,1.4576566838570775,-0.05161598456628589,,,1.131486744233718,,3.8,,0,6,0,0,0,0,1,0.039425,2.95,3.7999999999999994,0.382475,
Marks & Spencer,MKS.L,GB,2022,10885100000.0,257400000.0,770600000.0,9443400000.0,306600000.0,0.0236,0.0708,1.7,12000.0,3.4,1700.0,22.0,25.5,25.5,23.110660718545248,22.968581921749884,0.028166943803915444,650.25,0.4444444444444444,0.4444444444444444,-0.7777056045229644,1.1468264372690715,-0.4351089694186451,-0.806827115238667,-0.36845734171505545,-0.8918933476792609,0.33838668409509143,,,,,0,3,0,1,0,0,0,0.0319,3.4,1.7,0.0728,17.5
Marks & Spencer,MKS.L,GB,2023,11931300000.0,410300000.0,1009900000.0,9097800000.0,363400000.0,0.0344,0.0846,1.7,13000.0,3.4,1850.0,22.0,26.0,26.0,23.2024310361053,22.931298462999223,0.030457703686941073,676.0,0.36363636363636365,0.36363636363636365,-0.0054480252505984565,1.1468264372690715,-0.4351089694186451,-0.7084952196202867,-0.31873747453879864,-0.006247939388295768,0.00237048465215465,-0.7777056045229644,1.1468264372690715,1.7,-0.8918933476792609,0,4,0,0,1,0,0,0.0319,3.4,1.7,0.0728,17.5
Marks & Spencer,MKS.L,GB,2024,13040100000.0,429300000.0,852000000.0,8682200000.0,431200000.0,0.0329,0.0653,1.7,14000.0,,,23.0,26.5,26.5,23.29129506212717,22.884540789725268,0.033067231079516264,702.25,0.36363636363636365,0.36363636363636365,-0.1127060223717605,,-0.4351089694186451,-0.8460173634923693,-0.2620989083088562,,0.049039401241451466,-0.0054480252505984565,1.1468264372690715,1.7,-0.006247939388295768,0,5,0,0,0,1,0,0.0319,3.4,1.7,0.0728,17.5
Marks & Spencer,MKS.L,GB,2025,13816800000.0,506900000.0,974300000.0,8821400000.0,295700000.0,0.0367,0.0705,,,,,,,,23.349151079993984,22.90044642452754,0.021401482253488507,,0.18181818181818182,0.36363636363636365,0.1590142370018501,,,-0.8089647651434144,-0.5152985065904474,,,-0.1127060223717605,,1.7,,0,6,0,0,0,0,1,0.0319,3.4,1.7,0.0728,
Next,NXT.L,GB,2022,4625900000.0,266300000.0,1073900000.0,3981800000.0,677500000.0,0.0576,0.2321,4.3,230000.0,3.5,1100.0,22.0,25.5,25.5,22.254936783574323,22.10499981530997,0.14645798655396788,650.25,0.1111111111111111,0.1111111111111111,1.653475663556706,1.7764566381226792,2.071712024845592,0.34251598354718443,2.1989941739389427,2.9373278184996123,3.4255254149799725,,,,,0,3,0,1,0,0,0,0.041624999999999995,3.5,4.3,0.2486,82.5
Next,NXT.L,GB,2023,5034000000.0,246100000.0,1231800000.0,3983800000.0,711700000.0,0.0489,0.2447,4.3,260000.0,3.5,1200.0,22.0,26.0,26.0,22.339480733659535,22.10550197460545,0.14137862534763607,676.0,0.09090909090909091,0.09090909090909091,1.031379280253967,1.7764566381226792,2.071712024845592,0.43229727954657515,2.0887490249862344,1.8322005688293508,2.136720857078735,1.653475663556706,1.7764566381226792,4.3,2.9373278184996123,0,4,0,0,1,0,0,0.041624999999999995,3.5,4.3,0.2486,82.5
