year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,06085,85972,962,4300671906,4449
2015,06087,11932,591,366709428,803
2015,06089,9079,566,267278904,602
2015,06091,22,371,427835,7
2015,06093,1554,496,40051133,153
2015,06095,18219,581,550764606,981
2015,06097,24597,643,821968409,1604
2015,06099,22361,572,665299987,1295
2015,06101,4286,523,116496781,254
2015,06103,1842,606,58085320,139
2015,06105,371,494,9550352,42
2015,06107,17136,493,438902090,1000
2015,06109,2486,511,66039376,155
2015,06111,39582,623,1282561224,2460
2015,06113,8145,632,267861266,422
2015,06115,1386,522,37600375,110
2015,06999,9711,1696,856283305,1079
2015,08001,19998,602,625556962,1014
2015,08003,1093,525,29817326,77
2015,08005,34315,644,1149341774,1783
2015,08007,747,511,19818991,76
2015,08009,112,405,2353089,14
2015,08011,72,453,1698770,13
2015,08013,16981,614,542093516,1088
2015,08014,4615,508,121962279,266
2015,08015,1026,530,28275169,132
2015,08017,58,585,1761811,14
2015,08019,213,494,5478721,41
2015,08021,172,480,4296908,19
2015,08023,48,237,586386,10
2015,08025,84,583,2561245,8
2015,08027,114,533,3162833,16
2015,08029,1172,496,30196086,113
2015,08031,29616,616,949399016,2243
2015,08033,57,416,1230489,7
2015,08035,17485,552,501728397,856
2015,08037,3415,693,123064068,366
2015,08039,427,477,10594735,39
2015,08041,30947,555,893098252,1866
2015,08043,1617,470,39509280,121
2015,08045,3055,630,100084827,266
2015,08047,20,356,362580,6
2015,08049,636,589,19469408,95
2015,08051,928,481,23196325,132
2015,08053,0,0,0,11
2015,08055,233,485,5887857,29
2015,08057,64,426,1419373,10
2015,08059,28879,564,847486626,1753
2015,08061,39,416,832109,5
2015,08063,262,504,6854711,35
2015,08065,171,521,4640280,27
2015,08067,3173,536,88408341,290
2015,08069,18040,528,495574356,1144
2015,08071,617,468,15018178,54
2015,08073,312,448,7279343,29
2015,08075,1130,456,26786938,98
2015,08077,8001,523,217570218,536
2015,08079,0,0,0,12
2015,08081,690,562,20183636,56
2015,08083,1313,547,37346311,110
2015,08085,2087,537,58281341,171
2015,08087,1036,463,24956956,90
2015,08089,678,452,15927042,65
2015,08091,173,439,3960924,36
